Artículo;Nombre;Categoría
AL-102;"Calistenia AL";"Gimnasios para espacios públicos"
G-101;"Ruedas cervicales dobles grandes";"Gimnasios para espacios públicos"
G-102;"Ruedas cervicales cuádruples chicas";"Gimnasios para espacios públicos"
G-103;"Ejercitador de Piernas Simples";"Gimnasios para espacios públicos"
G-104;"Ejercitador de piernas dobles";"Gimnasios para espacios públicos"
G-105;"Ejercitador de Piernas con rodillo";"Gimnasios para espacios públicos"
G-106;"Ejercitador de Hombros Simple";"Gimnasios para espacios públicos"
G-107;"Ejercitador de hombros doble";"Gimnasios para espacios públicos"
G-107-1;"Ejercitador de Piernas y Hombros";"Gimnasios para espacios públicos"
G-108;"Dorsalera y Pectoralera Simple";"Gimnasios para espacios públicos"
G-109;"Dorsalera y Pectoralera Doble";"Gimnasios para espacios públicos"
G-110;"Pesas para espacio Publico";"Gimnasios para espacios públicos"
G-110-1;"Pesas Uso Publico Con Banco";"Gimnasios para espacios públicos"
G-111;"Remo Simple";"Gimnasios para espacios públicos"
G-112;"Remo Doble";"Gimnasios para espacios públicos"
G-113;"Máquina de pedales con Remo / Ski";"Gimnasios para espacios públicos"
G-114;"Cabalgata Simple";"Gimnasios para espacios públicos"
G-115;"Bicicleta Simple Spinning";"Gimnasios para espacios públicos"
G-116;"Bicicleta simple Horizontal";"Gimnasios para espacios públicos"
G-117;"Bicicleta Doble Horizontal";"Gimnasios para espacios públicos"
G-118;"Estación Abdominales Simples";"Gimnasios para espacios públicos"
G-119;"Estación abdominales Doble";"Gimnasios para espacios públicos"
G-121;"Triple plato giratorio para cintura";"Gimnasios para espacios públicos"
G-122;"Vaivén de cintura doble";"Gimnasios para espacios públicos"
G-123;"Vaiven de Cintura con Rotador";"Gimnasios para espacios públicos"
G-123-1;"Vaiven de Cintura con Paralelas";"Gimnasios para espacios públicos"
G-124;"Caminata aérea simple";"Gimnasios para espacios públicos"
G-125;"Caminata aérea simple con remo";"Gimnasios para espacios públicos"
G-125-1;"Caminata Simple Modelo 2";"Gimnasios para espacios públicos"
G-125-1;"Caminata Simple 3 en 1";"Gimnasios para espacios públicos"
G-126;"Caminata aérea doble";"Gimnasios para espacios públicos"
G-127;"Caminata aérea doble con remo";"Gimnasios para espacios públicos"
G-128;"Caminata aérea triple";"Gimnasios para espacios públicos"
G-129;"Barras paralelas dobles";"Gimnasios para espacios públicos"
G-130;"Barras Paralelas Rectas";"Gimnasios para espacios públicos"
G-131;"Barras simples";"Gimnasios para espacios públicos"
G-132;Espaldar;"Gimnasios para espacios públicos"
G-133;"Barras Triangular";"Gimnasios para espacios públicos"
G-134;"Barral para brazos con plato giratorio";"Gimnasios para espacios públicos"
G-135;"Estación trepadora completa";"Gimnasios para espacios públicos"
G-136;"Relajador de columna";"Gimnasios para espacios públicos"
G-137;"Rejajador Vertical";"Gimnasios para espacios públicos"
G-138;"Estación De Flexiones";"Gimnasios para espacios públicos"
G-138-1;"Estación de Flexiones Triple";"Gimnasios para espacios públicos"
G-139;"Estación de elongación brazos y piernas";"Gimnasios para espacios públicos"
